Source Table,dH_max/A,tau_min,tic520_sp,X_good_avg,CH4_yield_corr,source,pp_H2O
Lab_for_RDF_reconciliation,50.624099741,0.4060645842,1450,0.820927,0.0091213048,Lab,36.9746
Lab_for_RDF_reconciliation,81.117912509,0.2576328776,1450,0.793336,0.031691447,Lab,38.97
Lab_for_RDF_reconciliation,40.581205044,0.4921405631,1450,0.886191,0.0075438925,Lab,36.1394
Lab_for_RDF_reconciliation,71.021957198,0.2918922661,1450,0.797746,0.0231814001,Lab,38.497
Lab_for_RDF_reconciliation,69.874842115,0.2452487838,1450,0.90949,0.0548290101,Lab,39.1358
Lab_for_RDF_reconciliation,80.962135454,0.2756851622,1450,0.675783,0.0526127426,Lab,39.0717
Lab_for_RDF_reconciliation,69.877376947,0.3113639119,1450,0.704649,0.0428387312,Lab,38.2089
Lab_for_RDF_reconciliation,39.641767576,0.509525214,1450,0.854439,0.0211721234,Lab,35.9402
Lab_for_RDF_reconciliation,80.665400254,0.2746440754,1450,0.694867,0.0509621761,Lab,39.5245
Lab_for_RDF_reconciliation,71.625645083,0.3090666559,1450,0.688098,0.0411286886,Lab,38.2852
Lab_for_RDF_reconciliation,60.480211351,0.3549854114,1450,0.754672,0.0370840707,Lab,37.9956
Lab_for_RDF_reconciliation,69.416380432,0.3076446056,1450,0.732629,0.0461690348,Lab,38.6044
Lab_for_RDF_reconciliation,42.143763877,0.4953670142,1450,0.798194,0.0195205121,Lab,35.486
Lab_for_RDF_reconciliation,40.540486747,0.5063998971,1450,0.827199,0.0217751105,Lab,35.888
Lab_for_RDF_reconciliation,60.189523873,0.3571762419,1450,0.744862,0.0366133882,Lab,37.787
Lab_for_RDF_reconciliation,51.028141062,0.4173898945,1450,0.764457,0.0291338701,Lab,36.9401
Lab_for_RDF_reconciliation,50.83950716,0.4144776166,1450,0.785205,0.0295208652,Lab,36.9214
Lab_for_RDF_reconciliation,60.89230653,0.3571766877,1450,0.739584,0.0366371334,Lab,37.8529
Lab_for_RDF_reconciliation,79.962311154,0.2734708758,1450,0.694259,0.05250384,Lab,39.1249
Lab_for_RDF_reconciliation,50.886071595,0.4136696542,1450,0.789572,0.0285917715,Lab,37.1143
Lab_for_RDF_reconciliation,79.923780669,0.2712230899,1450,0.743091,0.0373404932,Lab,39.9483
Lab_for_RDF_reconciliation,70.19536023,0.2967145248,1450,0.815859,0.0336272549,Lab,39.7143
Lab_for_RDF_reconciliation,40.046460412,0.500583633,1450,0.903143,0.0113171717,Lab,37.1564
Lab_for_RDF_reconciliation,80.219653019,0.2626224001,1450,0.779239,0.0425386757,Lab,40.1634
Lab_for_RDF_reconciliation,50.492623478,0.4034767686,1450,0.85764,0.0169964561,Lab,38.1769
Lab_for_RDF_reconciliation,70.20721884,0.2972207266,1450,0.798024,0.0340298373,Lab,39.4485
Lab_for_RDF_reconciliation,60.24457519,0.3408583167,1450,0.825779,0.0237637361,Lab,38.9574
Lab_for_RDF_reconciliation,70.248801316,0.2891912332,1450,0.846518,0.0278552848,Lab,39.7018
Lab_for_RDF_reconciliation,39.890777061,0.4978138469,1450,0.884429,0.0137105582,Lab,36.7779
Lab_for_RDF_reconciliation,41.137756708,0.4847131068,1450,0.899659,0.013956699,Lab,36.9111
Lab_for_RDF_reconciliation,60.890010846,0.340619187,1450,0.822278,0.0285041925,Lab,39.0175
Lab_for_RDF_reconciliation,52.284956668,0.37843813,1450,0.872371,0.0230311684,Lab,39.6033
Lab_for_RDF_reconciliation,50.853464142,0.4050044582,1450,0.843355,0.0188534104,Lab,38.0845
